bitlength,rounding,poi,inputsource,subchanneling,subchanneling_bits,ecc,multihashing,CAF,STEG BANDWIDTH,DISTANCE
2,6,all,IPD,iphash,8.0,inline-hamming+,0.0,2.0,,
2,6,all,IPD,clockhash,2.0,none,0.0,2.0,,
2,6,all,IPD,clockhash,4.0,none,0.0,2.0,,
2,6,all,IPD,clockhash,8.0,none,0.0,2.0,,
2,6,all,IPD,clockhash,2.0,hamming,0.0,2.0,,
2,6,all,IPD,clockhash,4.0,hamming,0.0,2.0,,
2,6,all,IPD,clockhash,8.0,hamming,0.0,2.0,,
2,6,all,IPD,clockhash,2.0,hamming+,0.0,2.0,,
2,6,all,IPD,clockhash,4.0,hamming+,0.0,2.0,,
2,6,all,IPD,clockhash,8.0,hamming+,0.0,2.0,,
2,6,all,IPD,clockhash,2.0,inline-hamming+,0.0,2.0,,
2,6,all,IPD,clockhash,4.0,inline-hamming+,0.0,2.0,,
2,6,all,IPD,clockhash,8.0,inline-hamming+,0.0,2.0,,
2,6,all,ISD,none,0.0,none,0.0,2.0,,
2,6,all,ISD,none,0.0,hamming,0.0,2.0,,
2,6,all,ISD,none,0.0,hamming+,0.0,2.0,,
2,6,all,ISD,none,0.0,inline-hamming+,0.0,2.0,,
2,6,all,ICD,none,0.0,none,0.0,2.0,,
2,6,all,ICD,none,0.0,hamming,0.0,2.0,,
2,6,all,ICD,none,0.0,hamming+,0.0,2.0,,
2,6,all,ICD,none,0.0,inline-hamming+,0.0,2.0,,
2,6,all,ISPN,none,0.0,none,0.0,2.0,,
2,6,all,ISPN,none,0.0,hamming,0.0,2.0,,
2,6,all,ISPN,none,0.0,hamming+,0.0,2.0,,
2,6,all,ISPN,none,0.0,inline-hamming+,0.0,2.0,,
2,6,all,timestamp,none,0.0,none,0.0,2.0,,
2,6,all,timestamp,none,0.0,hamming,0.0,2.0,,
2,6,all,timestamp,none,0.0,hamming+,0.0,2.0,,
2,6,all,timestamp,none,0.0,inline-hamming+,0.0,2.0,,
2,6,broadcast_domain,IPD,none,0.0,none,0.0,2.0,0.01,179.19
2,6,broadcast_domain,IPD,none,0.0,hamming,0.0,2.0,0.0,1359.82
2,6,broadcast_domain,IPD,none,0.0,hamming+,0.0,2.0,0.0,408.63
2,6,broadcast_domain,IPD,none,0.0,inline-hamming+,0.0,2.0,0.01,188.28
2,6,broadcast_domain,IPD,baseipd,2.0,none,0.0,2.0,0.01,191.67
2,6,broadcast_domain,IPD,baseipd,4.0,none,0.0,2.0,0.01,192.12
2,6,broadcast_domain,IPD,baseipd,8.0,none,0.0,2.0,0.01,199.65
2,6,broadcast_domain,IPD,baseipd,2.0,hamming,0.0,2.0,0.0,1375.1
2,6,broadcast_domain,IPD,baseipd,4.0,hamming,0.0,2.0,0.0,1483.44
2,6,broadcast_domain,IPD,baseipd,8.0,hamming,0.0,2.0,0.0,1559.03
2,6,broadcast_domain,IPD,baseipd,2.0,hamming+,0.0,2.0,0.0,443.42
2,6,broadcast_domain,IPD,baseipd,4.0,hamming+,0.0,2.0,0.0,402.58
2,6,broadcast_domain,IPD,baseipd,8.0,hamming+,0.0,2.0,0.0,437.08
2,6,broadcast_domain,IPD,baseipd,2.0,inline-hamming+,0.0,2.0,0.01,184.17
2,6,broadcast_domain,IPD,baseipd,4.0,inline-hamming+,0.0,2.0,0.01,186.56
2,6,broadcast_domain,IPD,baseipd,8.0,inline-hamming+,0.0,2.0,0.01,194.41
