bitlength,rounding,poi,inputsource,subchanneling,subchanneling_bits,ecc,multihashing,CAF,STEG BANDWIDTH,DISTANCE
2,6,all,timestamp,none,0,inline-hamming+,0,2.0,,
2,6,broadcast_domain,IPD,none,0,none,0,2.0,0.0,766.63
2,6,broadcast_domain,IPD,none,0,hamming,0,2.0,0.0,6098.99
2,6,broadcast_domain,IPD,none,0,hamming+,0,2.0,0.0,1723.02
2,6,broadcast_domain,IPD,none,0,inline-hamming+,0,2.0,0.0,763.04
2,6,broadcast_domain,IPD,baseipd,2,none,0,2.0,0.0,821.39
2,6,broadcast_domain,IPD,baseipd,4,none,0,2.0,0.0,752.27
2,6,broadcast_domain,IPD,baseipd,8,none,0,2.0,0.0,754.88
2,6,broadcast_domain,IPD,baseipd,2,hamming,0,2.0,0.0,5973.38
2,6,broadcast_domain,IPD,baseipd,4,hamming,0,2.0,0.0,6056.54
2,6,broadcast_domain,IPD,baseipd,8,hamming,0,2.0,0.0,6762.61
2,6,broadcast_domain,IPD,baseipd,2,hamming+,0,2.0,0.0,1717.35
2,6,broadcast_domain,IPD,baseipd,4,hamming+,0,2.0,0.0,1709.47
2,6,broadcast_domain,IPD,baseipd,8,hamming+,0,2.0,0.0,1733.31
2,6,broadcast_domain,IPD,baseipd,2,inline-hamming+,0,2.0,0.0,797.55
2,6,broadcast_domain,IPD,baseipd,4,inline-hamming+,0,2.0,0.0,763.71
2,6,broadcast_domain,IPD,baseipd,8,inline-hamming+,0,2.0,0.0,772.3
2,6,broadcast_domain,IPD,iphash,2,none,0,2.0,0.0,760.38
2,6,broadcast_domain,IPD,iphash,4,none,0,2.0,0.0,741.37
2,6,broadcast_domain,IPD,iphash,8,none,0,2.0,0.0,768.89
2,6,broadcast_domain,IPD,iphash,2,hamming,0,2.0,0.0,5932.65
2,6,broadcast_domain,IPD,iphash,4,hamming,0,2.0,0.0,5932.65
2,6,broadcast_domain,IPD,iphash,8,hamming,0,2.0,0.0,6156.53
2,6,broadcast_domain,IPD,iphash,2,hamming+,0,2.0,0.0,1744.9
2,6,broadcast_domain,IPD,iphash,4,hamming+,0,2.0,0.0,1744.9
2,6,broadcast_domain,IPD,iphash,8,hamming+,0,2.0,0.0,1820.34
2,6,broadcast_domain,IPD,iphash,2,inline-hamming+,0,2.0,0.0,742.21
2,6,broadcast_domain,IPD,iphash,4,inline-hamming+,0,2.0,0.0,742.21
2,6,broadcast_domain,IPD,iphash,8,inline-hamming+,0,2.0,0.0,747.53
2,6,broadcast_domain,IPD,clockhash,2,none,0,2.0,0.0,768.89
2,6,broadcast_domain,IPD,clockhash,4,none,0,2.0,0.0,756.85
2,6,broadcast_domain,IPD,clockhash,8,none,0,2.0,0.0,768.89
2,6,broadcast_domain,IPD,clockhash,2,hamming,0,2.0,0.0,5932.65
2,6,broadcast_domain,IPD,clockhash,4,hamming,0,2.0,0.0,6000.85
2,6,broadcast_domain,IPD,clockhash,8,hamming,0,2.0,0.0,6042.52
2,6,broadcast_domain,IPD,clockhash,2,hamming+,0,2.0,0.0,1741.41
2,6,broadcast_domain,IPD,clockhash,4,hamming+,0,2.0,0.0,1844.78
2,6,broadcast_domain,IPD,clockhash,8,hamming+,0,2.0,0.0,1756.64
2,6,broadcast_domain,IPD,clockhash,2,inline-hamming+,0,2.0,0.0,762.15
2,6,broadcast_domain,IPD,clockhash,4,inline-hamming+,0,2.0,0.0,749.89
2,6,broadcast_domain,IPD,clockhash,8,inline-hamming+,0,2.0,0.0,747.1
2,6,broadcast_domain,ISD,none,0,none,0,2.0,0.0,752.05
2,6,broadcast_domain,ISD,none,0,hamming,0,2.0,0.0,6558.71
2,6,broadcast_domain,ISD,none,0,hamming+,0,2.0,0.0,1712.84
2,6,broadcast_domain,ISD,none,0,inline-hamming+,0,2.0,0.0,772.07
2,6,broadcast_domain,ICD,none,0,none,0,2.0,0.0,764.38
2,6,broadcast_domain,ICD,none,0,hamming,0,2.0,0.0,5813.74
2,6,broadcast_domain,ICD,none,0,hamming+,0,2.0,0.0,1768.54
2,6,broadcast_domain,ICD,none,0,inline-hamming+,0,2.0,0.0,765.5
2,6,broadcast_domain,ISPN,none,0,none,0,2.0,0.0,523.54
2,6,broadcast_domain,ISPN,none,0,hamming,0,2.0,0.0,11060.88
2,6,broadcast_domain,ISPN,none,0,hamming+,0,2.0,0.0,1979.05
2,6,broadcast_domain,ISPN,none,0,inline-hamming+,0,2.0,0.0,629.46
2,6,broadcast_domain,timestamp,none,0,none,0,2.0,0.0,763.71
2,6,broadcast_domain,timestamp,none,0,hamming,0,2.0,0.0,6335.84
2,6,broadcast_domain,timestamp,none,0,hamming+,0,2.0,0.0,1741.41
2,6,broadcast_domain,timestamp,none,0,inline-hamming+,0,2.0,0.0,788.63
3,2,all,IPD,none,0,none,0,3.0,,
3,2,all,IPD,none,0,hamming,0,3.0,,
3,2,all,IPD,none,0,hamming+,0,3.0,,
3,2,all,IPD,none,0,inline-hamming+,0,3.0,,
3,2,all,IPD,baseipd,2,none,0,3.0,,
3,2,all,IPD,baseipd,4,none,0,3.0,,
3,2,all,IPD,baseipd,8,none,0,3.0,,
3,2,all,IPD,baseipd,2,hamming,0,3.0,,
3,2,all,IPD,baseipd,4,hamming,0,3.0,,
3,2,all,IPD,baseipd,8,hamming,0,3.0,,
3,2,all,IPD,baseipd,2,hamming+,0,3.0,,
3,2,all,IPD,baseipd,4,hamming+,0,3.0,,
